City ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Mackay,40,AU,1600301117,73,-21.15,149.2,24.44,7.2
1,Isangel,40,VU,1600301117,57,-19.55,169.27,27.0,5.1
2,Busselton,0,AU,1600301117,72,-33.65,115.33,11.11,2.68
3,Ushuaia,40,AR,1600301052,64,-54.8,-68.3,4.0,8.2
4,Santiago del Estero,33,AR,1600301117,36,-27.8,-64.26,21.09,3.69
5,Itarema,10,BR,1600301118,80,-2.92,-39.92,25.71,6.97
6,Barrow,90,US,1600301118,87,71.29,-156.79,8.0,5.1
7,Chokurdakh,94,RU,1600301118,79,70.63,147.92,5.07,1.3
8,Vestmanna,100,FO,1600301118,81,62.16,-7.17,10.0,7.2
9,Butaritari,44,KI,1600301118,71,3.07,172.79,28.39,8.74
10,Balaipungut,100,ID,1600301118,95,1.05,101.28,24.63,0.98
11,Albany,12,US,1600301104,59,42.6,-73.97,18.33,2.52
12,Erzin,5,TR,1600301118,87,36.96,36.2,27.22,0.37
13,Bari,96,IT,1600301119,83,41.12,16.85,23.89,2.1
14,Rio Grande,36,BR,1600301119,93,-32.03,-52.1,14.46,3.79
15,Leningradskiy,100,RU,1600301119,93,69.38,178.42,2.56,7.07
16,Port Elizabeth,1,ZA,1600301119,76,-33.92,25.57,14.0,6.7
17,San Quintín,0,MX,1600301119,29,30.48,-115.95,30.97,8.02
18,Manzhouli,89,CN,1600301119,69,49.6,117.43,10.62,7.55
19,Avera,90,US,1600301119,94,33.19,-82.53,21.0,4.1
20,Santa Vitória do Palmar,59,BR,1600301120,93,-33.52,-53.37,11.62,2.62
21,Hargeisa,11,SO,1600301120,59,9.56,44.06,22.8,8.21
22,Chui,47,UY,1600301120,94,-33.7,-53.46,11.35,2.73
23,Udachny,29,RU,1600301120,57,66.42,112.4,9.0,2.0
24,Mataura,100,NZ,1600301120,94,-46.19,168.86,8.33,7.6
25,Provincia di Rimini,22,IT,1600301120,68,44.02,12.52,22.78,1.5
26,Athabasca,5,CA,1600301120,59,54.72,-113.29,15.65,0.74
27,Mar del Plata,90,AR,1600301105,87,-38.0,-57.56,9.0,2.6
28,Beloha,0,MG,1600301121,93,-25.17,45.05,17.75,1.82
29,Puerto Ayora,67,EC,1600301121,90,-0.74,-90.35,19.44,2.68
30,Hobart,20,AU,1600300833,57,-42.88,147.33,10.0,6.2
31,Phang Nga,75,TH,1600300927,78,8.45,98.53,27.0,5.1
32,Saint George,1,US,1600301083,7,37.1,-113.58,37.78,2.1
33,Palmer,75,US,1600301121,59,42.16,-72.33,19.0,3.6
34,Bredasdorp,33,ZA,1600301121,87,-34.53,20.04,11.0,2.6
35,Provideniya,90,RU,1600301121,76,64.38,-173.3,11.0,2.0
36,Turkmenabat,0,TM,1600301121,45,39.07,63.58,17.0,2.1
37,New Norfolk,64,AU,1600301121,60,-42.78,147.06,11.11,0.89
38,Norman Wells,75,CA,1600301122,57,65.28,-126.83,10.0,2.6
39,Bethel,0,US,1600300850,86,41.37,-73.41,16.67,2.94
40,San Cristobal,40,VE,1600301122,61,7.77,-72.22,27.0,1.5
41,Saldanha,45,ZA,1600301122,87,-33.01,17.94,13.0,1.0
42,Avarua,34,CK,1600301122,65,-21.21,-159.78,26.0,3.1
43,Paamiut,100,GL,1600301122,85,61.99,-49.67,4.36,5.76
44,Kiryat Gat,0,IL,1600301122,78,31.61,34.76,27.22,0.74
45,Rikitea,12,PF,1600301122,78,-23.12,-134.97,23.19,4.11
46,Cherskiy,98,RU,1600301122,79,68.75,161.3,5.22,6.28
47,Hasaki,75,JP,1600301123,88,35.73,140.83,25.0,2.1
48,Bluff,100,NZ,1600300938,94,-46.6,168.33,8.33,7.6
49,Lagoa,98,PT,1600301123,72,39.05,-27.98,19.21,7.46
50,Port Alfred,3,ZA,1600301123,75,-33.59,26.89,14.71,7.66
51,Biak,93,ID,1600301123,67,-0.91,122.88,25.07,2.45
52,Namatanai,19,PG,1600301123,67,-3.67,152.43,29.72,3.56
